Filename,Building Name,Alternative Name,Built,Razed,Coordinates,Photograph Date,Building Facts,Photo Description,Metadata tags,Caption,Sources,Parent Work,our notes: https://newspaper.library.tamu.edu/lccn/sn86088544/1931-11-25/ed-1/seq-1/#words=Veterinary+Hospital,"Legend: Red=Cut?, Orange=Needs better scan, Yellow=Needs more information",Ark,Originating Image,Mark Note
4031868083_c62485a4d9_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,This is Academic 2,,https://n2t.net/ark:/81423/d22s42,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xMy9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMTg2ODA4M19jNjI0ODVhNGQ5X28uanBn/full/full/0/default.jpg,
4031868425_75e2fecbe8_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,This is Academic 19,,https://n2t.net/ark:/81423/d2z32g,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xNC9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMTg2ODQyNV83NWUyZmVjYmU4X28uanBn/full/full/0/default.jpg,
4031868525_f7249fdd18_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,This is Academic 20,,https://n2t.net/ark:/81423/d2t89m,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xNS9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMTg2ODUyNV9mNzI0OWZkZDE4X28uanBn/full/full/0/default.jpg,
4031868751_175a4c7d0d_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,,,https://n2t.net/ark:/81423/d2pk7q,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xNi9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMTg2ODc1MV8xNzVhNGM3ZDBkX28uanBn/full/full/0/default.jpg,
4031868873_1f73caf2a7_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,This is Academic 33,,https://n2t.net/ark:/81423/d2js5s,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xNy9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMTg2ODg3M18xZjczY2FmMmE3X28uanBn/full/full/0/default.jpg,
4031869207_d045d5a641_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,Similar to Academic 107,,https://n2t.net/ark:/81423/d2f31f,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xOC9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMTg2OTIwN19kMDQ1ZDVhNjQxX28uanBn/full/full/0/default.jpg,
4031985885_15ef6a41fd_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,This is Academic 69,,https://n2t.net/ark:/81423/d2990w,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8xOS9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMTk4NTg4NV8xNWVmNmE0MWZkX28uanBn/full/full/0/default.jpg,
4032014663_eb0a77ed33_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,Similar to Academic 107,,https://n2t.net/ark:/81423/d25k6p,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8yMC9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMjAxNDY2M19lYjBhNzdlZDMzX28uanBn/full/full/0/default.jpg,
4032037897_a6d676efbc_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,Similar to Academic 78,,https://n2t.net/ark:/81423/d21s54,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8yMS9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMjAzNzg5N19hNmQ2NzZlZmJjX28uanBn/full/full/0/default.jpg,
4032621490_1158be97d7_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,This is Academic 35,,https://n2t.net/ark:/81423/d2x31s,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8yMi9wYWdlcy9wYWdlXzAvZmlsZXMvNDAzMjYyMTQ5MF8xMTU4YmU5N2Q3X28uanBn/full/full/0/default.jpg,
4050463622_e4d95fa5c8_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",1993,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,,,https://n2t.net/ark:/81423/d2sc8z,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8yMy9wYWdlcy9wYWdlXzAvZmlsZXMvNDA1MDQ2MzYyMl9lNGQ5NWZhNWM4X28uanBn/full/full/0/default.jpg,
4793688451_edec3a1658_o.jpg,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",circa 1917,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",,,,,,This is Academic 33,,https://n2t.net/ark:/81423/d2nk61,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8yNC9wYWdlcy9wYWdlXzAvZmlsZXMvNDc5MzY4ODQ1MV9lZGVjM2ExNjU4X28uanBn/full/full/0/default.jpg,
Academic Building 2.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",circa 1912-1914,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a photograph of the Academic Building being constructed. This photograph was taken circa 1912-1914.,,,,,,,https://n2t.net/ark:/81423/d2hw3r,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8yOS9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDIudGlm/full/full/0/default.jpg,
Academic Building 10.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",circa 1933,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.","This is a drawing of a student shooting at 'prexy's moon,' a light on top of the Academic Building.",,,,,,,https://n2t.net/ark:/81423/d2d314,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zMC9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDEwLnRpZg==/full/full/0/default.jpg,
Academic Building 12.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",circa 1916,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a photograph of the Academic Building from Old Main Drive. There are five students standing in front of the Academic Building. ,,,,,,,https://n2t.net/ark:/81423/d28c9p,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zMS9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDEyLnRpZg==/full/full/0/default.jpg,
Academic Building 16.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",1914,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a photograph of the Academic Building.,,,,,,,https://n2t.net/ark:/81423/d24k6c,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zMi9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDE2LnRpZg==/full/full/0/default.jpg,
Academic Building 19.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",ca. 1925,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.","This is a photograph of the Academic Building with students lined up on the lawn in front of the building. On the left side of the Academic Building, there is Bagley and the Military Building, with Francis in the background. On the right side of the Academic Building is the Science Hall. ",,,,,Military Building - CS early campus maps,,,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zMy9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDE5LnRpZg==/full/full/0/default.jpg,
Academic Building 20.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",ca. 1925,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a photograph of the Academic Building with students lined up on the lawn in front of the building. The building to the left of the Academic Building is Bolton Hall.,,,,,,,https://n2t.net/ark:/81423/d20w4g,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zNC9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDIwLnRpZg==/full/full/0/default.jpg,
Academic Building 23.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",ca. 1930s,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a photograph of the Academic Building at night. 'Prexy's Moon' is visible on top of the Academic Building.,,,,,,,https://n2t.net/ark:/81423/d2w31g,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zNS9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDIzLnRpZg==/full/full/0/default.jpg,
Academic Building 29.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",ca. 1925,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a colored postcard of the Academic Building.,,,,,,,https://n2t.net/ark:/81423/d2rc91,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zNi9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDI5LnRpZg==/full/full/0/default.jpg,
Academic Building 33.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",ca. 1917,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.","This is a photograph of the Academic Building. To the left of the Academic Building is Ross and Bagley Hall. To the right of the Academic Building is Foster Hall, Nagle, and the Science Hall.",,,,,,,https://n2t.net/ark:/81423/d2mk73,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zNy9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDMzLnRpZg==/full/full/0/default.jpg,
Academic Building 35.tif,Academic Building,,1914,Present,"30.615908133283238, -96.34076212432655",ca. 1950s,"The construction for the Academic Building started in 1912 and was finished in 1914. The Academic Building cost 225,000 dollars. The Academic Building was built on the site of Old Main.",This is a colored postcard of the Academic Building.,,,,,,,https://n2t.net/ark:/81423/d2gw3f,https://api-pre.library.tamu.edu/iiif/2/aHR0cHM6Ly9hcGktcHJlLmxpYnJhcnkudGFtdS5lZHUvZmNyZXBvL3Jlc3QvYmIvOTcvZjIvM2UvYmI5N2YyM2UtODAzYS00YmQ2LTg0MDYtMDY4MDI2MjM1NTRjL2F1ZHJleS1pbXBvcnRfb2JqZWN0cy8zOC9wYWdlcy9wYWdlXzAvZmlsZXMvQWNhZGVtaWMlMjBCdWlsZGluZyUyMDM1LnRpZg==/full/full/0/default.jpg,
